target_formula,precursor_formulas
(Ba0.96Ca0.04)(Ti0.85Zr0.15)O3,"[['CaCO3', 'TiO2', 'BaCO3', 'ZrO2']]"
(Ba0.9965La0.0035)1.005TiO3,"[['TiO2', 'BaCO3', 'La2O3']]"
(Ba0.99Ca0.01)(Ti0.98Zr0.02)O3,"[['CaCO3', 'TiO2', 'BaCO3', 'ZrO2']]"
(Ba0.9Bi0.1)MnO3,"[['BaCO3', 'Bi2O3', 'MnO2']]"
(Ba0.9Sm0.1)(Zr0.52Ti0.48)O3,"[['TiO2', 'BaCO3', 'Sm2O3', 'ZrO2']]"
(Ba1.00Cs0.28)(Al1.46Ga0.82Ti5.72)O16,"[['Al2O3', 'Ga2O3', 'CsNO3', 'TiO2', 'BaCO3']]"
(Ba1.0Cs0.28)(Al1.46Fe0.82Ti5.72)O16,"[['Al2O3', 'Fe2O3', 'CsNO3', 'TiO2', 'BaCO3']]"
(BaO)0.11(Bi2O3)0.89,"[['BaO', 'Bi2O3']]"
(Bi)0.44Bi2Nb2O9,"[['Bi2O3', 'Nb2O5'], ['Bi2O3', 'Nb2O5']]"
(Bi0.47Na0.47Ba0.06)TiO3,"[['Bi2O3', 'Na2CO3', 'TiO2', 'BaCO3']]"
(Bi0.49Nd0.01Na0.335K0.125Li0.04)TiO3,"[['Li2CO3', 'Bi2O3', 'Na2CO3', 'Nd2O3', 'K2CO3', 'TiO2']]"
(Bi0.5Na0.5)0.93Ba0.07TiO3,"[['TiO2', 'BaCO3', 'Bi2O3', 'Na2CO3']]"
(Bi0.5Na0.5)0.94Ba0.06TiO3,"[['TiO2', 'BaO', 'Bi2O3', 'Na2CO3'], ['Bi2O3', 'Na2CO3', 'TiO2', 'BaCO3'], ['Bi2O3', 'Na2CO3', 'TiO2', 'BaCO3'], ['Bi2O3', 'Na2CO3', 'TiO2', 'BaCO3']]"
(Bi0.5Pb0.5)(Fe0.5Zr0.5)O3,"[['PbO', 'Bi2O3', 'ZrO2', 'Fe2O3']]"
(Bi0.6K0.4)(Fe0.6Nb0.4)O3,"[['K2CO3', 'Nb2O5', 'Bi2O3', 'Fe2O3']]"
(Bi0.75Ca1.2Y1.05)(V0.6Fe4.4)O12,"[['Bi2O3', 'Y2O3', 'V2O5', 'CaCO3', 'Fe2O3']]"
(Bi0.81CaO2)2(CoO2)1.69,"[['Bi2O3', 'CaCO3', 'Co3O4'], ['CaCO3', 'Bi2O3', 'Co3O4']]"
(Bi0.8Gd0.2)FeO3,"[['Bi2O3', 'Gd2O3', 'Fe2O3']]"
(Bi0.8Pb0.2)4Sr3Ca3Cu4O,"[['Sr(NO3)2', 'CuO', 'Bi(NO3)', 'CaCO3', 'PbO'], ['Sr(NO3)2', 'CuO', 'CaCO3', 'PbO', 'Bi(NO3)'], ['Sr(NO3)2', 'CuO', 'CaCO3', 'PbO', 'Bi(NO3)'], ['Sr(NO3)2', 'CuO', 'CaCO3', 'PbO', 'Bi(NO3)'], ['Sr(NO3)2', 'CuO', 'CaCO3', 'PbO', 'Bi(NO3)'], ['Sr(NO3)2', 'CuO', 'CaCO3', 'PbO', 'Bi(NO3)'], ['Sr(NO3)2', 'CuO', 'CaCO3', 'PbO', 'Bi(NO3)']]"
(Bi0.8Pb0.2)4Sr3Ca3Cu4O16,"[['Sr(NO3)2', 'CuO', 'Bi(NO3)', 'CaCO3', 'PbO']]"
(Bi0.8Pb0.3)2Sr2Ca2Cu3O10,"[['SrCO3', 'Bi2O3', 'CaCO3', 'PbO', 'CuCO3'], ['SrCO3', 'Bi2O3', 'CaCO3', 'PbO', 'CuCO3']]"
(Bi0.8Pb0.4)2Sr2Ca2Cu3O10,"[['SrCO3', 'Bi2O3', 'CaCO3', 'PbO', 'CuCO3'], ['SrCO3', 'Bi2O3', 'CaCO3', 'PbO', 'CuCO3']]"
(Bi0.8Pb0.5)2Sr2Ca2Cu3O10,"[['SrCO3', 'Bi2O3', 'CaCO3', 'PbO', 'CuCO3'], ['SrCO3', 'Bi2O3', 'CaCO3', 'PbO', 'CuCO3']]"
(Bi0.90Li0.10)(Sc0.90Ta0.10)O3,"[['Ta2O5', 'Li2CO3', 'Bi2O3', 'Sc2O3']]"
(Bi1.56Co0.44)(Sb1.48Co0.52)O7,"[['CoO', 'Sb2O3', 'Bi2O3']]"
(Bi1.5Na0.5)(CrNb)O6,"[['NaNO3', 'Bi2O3', 'Nb2O5', 'Cr(NO3)3']]"
(Bi1.5Zn0.5)(Zn0.5Nb1.5)O7,"[['Nb2O5', 'Bi2O3', 'ZnO'], ['Nb2O5', 'Bi2O3', 'ZnO']]"
(Bi1.88Fe0.12)(Fe1.42Te0.58)O6.87,"[['Fe2O3', 'Bi2O3', 'TeO2']]"
(Bi2O3)0.7(Er2O3)0.3,"[['Bi2O3', 'Er2O3']]"
(Bi2O3)0.75(Dy2O3)0.25,"[['Bi2O3', 'Dy2O3']]"
(Bi2O3)0.76(Nb2O5)0.24,"[['Nb2O5', 'Bi2O3']]"
(BiFeO3)0.7(PbTiO3)0.3,"[['PbO', 'TiO2', 'Bi2O3', 'Fe2O3']]"
(BiNa)(CrNb)O6,"[['NaNO3', 'Bi2O3', 'Nb2O5', 'Cr(NO3)3']]"
(BiSe)1.09TaSe2TaSe2,"[['Se', 'Bi', 'Ta']]"
(Ca)2MgSi2O8,"[['Mg5(CO3)4(OH)2', 'CaCO3', 'SiO2']]"
(Ca)Cu2O,"[['CuO', 'CaCO3']]"
(Ca0.1La0.9)(Ba1.65La0.35)Cu3O,"[['La2O3', 'CuO', 'CaCO3', 'BaCO3']]"
(Ca0.3Li0.14Sm0.42)TiO3,"[['Li2CO3', 'CaCO3', 'Sm2O3', 'TiO2'], ['Li2CO3', 'CaCO3', 'Sm2O3', 'TiO2']]"
(Ca0.4Sm0.4)TiO3,"[['TiO2', 'Sm2O3', 'CaCO3']]"
(Ca0.6(Li0.5Nd0.5)0.4)0.45Zn0.55TiO3,"[['Li2CO3', 'ZnO', 'Nd2O3', 'CaCO3', 'TiO2'], ['Li2CO3', 'ZnO', 'Nd2O3', 'CaCO3', 'TiO2']]"
(Ca0.6Sr0.4)Bi4Ti4O15,"[['Ti(OH)4', 'SrCO3', 'CaCO3', 'Bi(OH)3']]"
(Ca0.8Sr0.2)TiO3,"[['SrCO3', 'CaCO3', 'TiO2']]"
(Ca0.99Eu0.01)(Al0.995Dy0.005)2Si2O8,"[['Dy2O3', 'SiO2', 'Al(OH)3', 'CaCO3', 'Eu2O3']]"
(Ca2.77Ce0.03Mn0.2)Sc2Si3O12,"[['CeO2', 'SiO2', 'CaCO3', 'MnCO3', 'Sc2O3']]"
(Ca2.8Mn0.2)Sc2Si3O12,"[['SiO2', 'CaCO3', 'MnCO3', 'Sc2O3']]"
(Ca2.93Mg0.07)O3(SiO2)0.98(Al2O3)0.01,"[['SiO2', 'Mg(OH)2', 'CaCO3', 'Al2O3']]"
(Ca2.97Ce0.03)Sc2Si3O12,"[['CeO2', 'SiO2', 'CaCO3', 'Sc2O3']]"
(Ca2CoO3)0.62(CoO2),"[['CaCO3', 'Co3O4']]"
(Ca2Mg2.75Pb0.25)Nb2(Ti1.75Zr0.25)O12,"[['MgO', 'CaCO3', 'PbO', 'Nb2O5', 'TiO2', 'ZrO2']]"
(Ca2Mg2.75Pb0.25)Ta2(Ti1.75Zr0.25)O12,"[['MgO', 'Ta2O5', 'CaCO3', 'PbO', 'TiO2', 'ZrO2']]"
(Ca2Mg3)(Nb1.75Sb0.25)TiO12,"[['MgO', 'CaCO3', 'Nb2O5', 'Sb2O5', 'TiO2']]"
(Ca2Mg3)(Ta1.75Sb0.25)TiO12,"[['MgO', 'Ta2O5', 'CaCO3', 'Sb2O5', 'TiO2']]"
(Ca2Mg3)Nb2(Ti1.75Zr0.25)O12,"[['MgO', 'CaCO3', 'Nb2O5', 'TiO2', 'ZrO2']]"
(Ca2Mg3)Ta2(Ti1.75Zr0.25)O12,"[['MgO', 'Ta2O5', 'CaCO3', 'TiO2', 'ZrO2']]"
(Ce0.008Lu0.1488Y0.8432)3Al5O12,"[['Lu2O3', 'CeO2', 'Al2O3', 'Y2O3']]"
(CeO2)0.8(GdO1.5)0.2,"[['Gd(NO3)3', 'Ce(NO3)3']]"
(CeO2)0.8(Sm2O3)0.2,"[['Sm2O3', 'CeO2']]"
(CeO2)0.8(SmO1.5)0.2,"[['Ce(NO3)3', 'Sm(NO3)3']]"
(CeO2)0.9(CaO)0.1,"[['CaCO3', 'CeO2']]"
(Co0.5Mg0.5)TiO3,"[['MgTiO3', 'CoTiO3']]"
(Cu0.25Bi0.25)Ba2Ca2Cu3O10,"[['Ba(NO3)2', 'Bi2O3', 'Cu(CN)', 'CaCO3']]"
(Cu0.5K0.25)Ba2Ca2Cu3O10,"[['Ba(NO3)2', 'K2CO3', 'Cu(CN)', 'Ca(NO3)2']]"
(Cu0.6C0.4)Ba2Ca3Cu4O,"[['CuO', 'BaCO3', 'CaCO3']]"
(Cu0.75Mo0.25)Sr2(Ce0.45Y0.55)2Cu2O9,"[['CuO', 'CeO2', 'SrCO3', 'Y2O3', 'MoO3']]"
(Cu0.75Mo0.25)Sr2(Ce0.67Y0.33)3Cu2O11,"[['SrCO3', 'CeO2', 'Y2O3', 'CuO', 'MoO3'], ['CuO', 'CeO2', 'SrCO3', 'Y2O3', 'MoO3']]"
(Cu0.75Mo0.25)Sr2(Ce12Y12)2Cu2O9,"[['SrCO3', 'CeO2', 'Y2O3', 'CuO', 'MoO3']]"
(Cu0.75Mo0.25)Sr2(Ce23Y13)3Cu2O11,"[['SrCO3', 'CeO2', 'Y2O3', 'CuO', 'MoO3']]"
(Cu0.75Mo0.25)Sr2YCu2O7,"[['SrCO3', 'Y2O3', 'CuO', 'MoO3'], ['CuO', 'SrCO3', 'Y2O3', 'MoO3']]"
(Dy0.9Ca0.1)2Ti2O6.9,"[['TiO2', 'CaO', 'Dy2O3']]"
(Er0.05Y0.95)2BaZnO5,"[['Y2O3', 'ZnO', 'Er2O3', 'BaCO3']]"
(Er2O3)0.2(Bi2O3)0.8,"[['Bi2O3', 'Er2O3'], ['Bi2O3', 'Er2O3']]"
(Gd0.33)Ba2Cu3O,"[['Gd2O3', 'CuO', 'BaCO3'], ['Gd2O3', 'CuO', 'BaCO3']]"
(Gd0.8Nd0.2)2Zr1.9Ti0.1O7,"[['Gd2O3', 'Nd2O3', 'TiO2', 'ZrO2']]"
(Gd0.9Ce0.1)2Si2O7,"[['SiO2', 'CeO2', 'Gd2O3']]"
(Gd0.9Yb0.1)2Zr2O7,"[['Yb2O3', 'ZrO2', 'Gd2O3']]"
(Ge2S3)1(Sb2Se3)1,"[['Se', 'Ge', 'Sb', 'S'], ['Se', 'Ge', 'Sb', 'S']]"
(Ge5.5Al0.5O24)O2.75,"[['Al2O3', 'GeO2']]"
(Hg0.9Re0.1)Ba2CaCu2O,"[['Ba2CaCu2O', 'HgO', 'HgRe']]"
(Hg2Cd2S2Br)Br,"[['S', 'Cd', 'Hg2Br2'], ['S', 'Cd', 'Hg2Br2']]"
(In0.5Cu0.5)Sr2YCu2O6,"[['CuO', 'In2O3', 'Y2O3', 'SrO']]"
(In0.94Mn0.03Fe0.03)2O3,"[['In2O3', 'Mn2O3', 'Fe2O3']]"
(In0.95Fe0.05)2O3,"[['In2O3', 'Fe2O3']]"
(K0.16Na0.84)0.5Bi4.5Ti4O15,"[['Bi2O3', 'Na2CO3', 'K2CO3', 'TiO2']]"
(K0.38Na0.52Li0.04)(Nb0.86Ta0.10Sb0.04)O2.97,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O5']]"
(K0.40Na0.60)0.94Li0.06Nb0.94SbO3,"[['Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O3']]"
(K0.4425Na0.52Li0.0375)(Nb0.8925Sb0.07Ta0.0375)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'K2CO3', 'Nb2O5', 'Sb2O3']]"
(K0.4425Na0.52Li0.0375)(Nb0.8925Ta0.0375Sb0.07)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O5']]"
(K0.44Na0.52Li0.04)(Nb0.86Ta0.10Sb0.04)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O5'], ['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O5'], ['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O5'], ['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O5']]"
(K0.44Na0.52Li0.04)(Nb0.86Ta0.1Sb0.04)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O3'], ['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O3']]"
(K0.455Na0.5Li0.045)(Nb0.9Ta0.1)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3']]"
(K0.48Na0.48Li0.04)(Nb0.86Ta0.1Sb0.04)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O3']]"
(K0.48Na0.48Li0.04)(Nb0.9Ta0.1)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3']]"
(K0.48Na0.48Li0.04)NbO3,"[['Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3']]"
(K0.48Na0.52)NbO3,"[['Na2CO3', 'K2CO3', 'Nb2O5']]"
(K0.5La0.5)MoO4,"[['K2CO3', 'La2O3', 'MoO3']]"
(K0.5Na0.5)(Nb0.93Sb0.07)O3,"[['Na2CO3', 'K2CO3', 'Nb2O5', 'Sb2O5']]"
(K0.5Na0.5)(Nb0.9Ta0.1)O3,"[['K2CO3', 'Nb2O5', 'Ta2O5', 'Na2CO3'], ['Ta2O5', 'Na2CO3', 'Nb2O5', 'K2CO3']]"
(K0.5Na0.5)0.95La0.05Nb0.9Ti0.05O2.9,"[['La2O3', 'Na2CO3', 'K2CO3', 'Nb2O5', 'TiO2']]"
(K0.5Na0.5)0.98NbO2.99,"[['K2CO3', 'Nb2O5', 'Na2CO3']]"
(K0.5Na0.5)0.995NbO2.9975,"[['K2CO3', 'Nb2O5', 'Na2CO3']]"
(K0.5Na0.5)1.02NbO3.01,"[['K2CO3', 'Nb2O5', 'Na2CO3']]"
(K0.5Na0.5)NbO3,"[['KNbO3', 'NaNbO3'], ['KNbO3', 'NaNbO3'], ['KNbO3', 'NaNbO3'], ['KNbO3', 'NaNbO3'], ['Na2CO3', 'K2CO3', 'Nb2O5'], ['Na2CO3', 'K2CO3', 'Nb2O5'], ['KNbO3', 'NaNbO3'], ['K2CO3', 'Nb2O5', 'Na2CO3'], ['K2CO3', 'Nb2O5', 'Na2CO3'], ['Na2CO3', 'K2CO3', 'Nb2O5'], ['Na2CO3', 'Nb2O5', 'K2CO3']]"
(La0.15Sr0.85)(Ga0.575Nb0.425)O3,"[['SrCO3', 'La2O3', 'Ga2O3', 'Nb2O5']]"
(La0.2Sr0.8)0.9Ti0.9Fe0.1O3,"[['SrCO3', 'TiO2', 'La2O3', 'Fe2O3']]"
(La0.56Ce0.14)Sr0.30MnO3,"[['SrCO3', 'CeO2', 'La2O3', 'MnO2']]"
(La0.5Na0.5)TiO3,"[['La2O3', 'Na2CO3', 'TiO2']]"
(La0.5Sr0.5)2CoO4,"[['SrCO3', 'La2O3', 'Co3O4']]"
(La0.6Sr0.4)(Al0.9Mg0.1)O3,"[['Mg(NO3)2', 'Sr(NO3)2', 'La(NO3)3', 'Al(NO3)3']]"
(La0.6Sr0.4)(Co0.2Fe0.8)O3,"[['Co(NO3)2', 'Fe(NO3)3', 'Sr(NO3)2', 'La(NO3)3'], ['Co(NO3)2', 'Fe(NO3)3', 'Sr(NO3)2', 'La(NO3)3']]"
(La0.6Sr0.4)(Ga0.8Mg0.2)O3,"[['SrCO3', 'MgO', 'La2O3', 'Ga2O3']]"
(La0.73Bi0.27)0.67Ca0.33MnO3,"[['La2O3', 'Bi2O3', 'CaCO3', 'MnCO3']]"
(La0.75Sr0.25)(Cr0.5Fe0.5)O3,"[['SrCO3', 'Fe2O3', 'La2O3', 'Cr2O3']]"
(La0.75Sr0.25)(Cr0.5Mn0.5)O3,"[['SrCO3', 'La2O3', 'Cr2O3', 'MnCO3'], ['SrCO3', 'Mn2O3', 'La2O3', 'Cr2O3']]"
(La0.75Sr0.25)0.95MnO3,"[['Sr(NO3)2', 'La(NO3)3', 'Mn(NO3)2'], ['SrCO3', 'La2O3', 'MnCO3']]"
(La0.75Sr0.25)Cr0.5Mn0.5O3,"[['SrCO3', 'La2O3', 'Cr2O3', 'MnCO3']]"
(La0.80Sr0.20)0.90MnO3,"[['SrCO3', 'La2O3', 'MnCO3']]"
(La0.83Bi0.17)0.67Ca0.33MnO3,"[['Bi2O3', 'CaCO3', 'La2O3', 'MnO2']]"
(La0.85Sr0.15)0.9MnO3,"[['SrCO3', 'La2O3', 'MnO2']]"
(La0.8Eu0.2)2Zr2O7,"[['La2O3', 'Eu2O3', 'ZrO2']]"
(La0.8Sr0.2)(Ga0.8Mg0.15Co0.05)O3,"[['SrCO3', 'MgO', 'La2O3', 'Ga2O3', 'Co3O4'], ['SrCO3', 'MgO', 'La2O3', 'Ga2O3', 'Co3O4']]"
(La0.8Sr0.2)(Ga0.8Mg0.2)O3,"[['SrCO3', 'MgO', 'La2O3', 'Ga2O3'], ['SrCO3', 'MgO', 'La2O3', 'Ga2O3']]"
(La0.8Sr0.2)0.95MnO3,"[['SrCO3', 'La2O3', 'C4H6Mn'], ['SrCO3', 'La2O3', 'MnO2'], ['SrCO3', 'La2O3', 'MnO2'], ['SrCO3', 'La2O3', 'MnCO3'], ['SrCO3', 'La2O3', 'MnCO3'], ['SrCO3', 'La2O3', 'MnCO3'], ['SrCO3', 'La2O3', 'MnO2'], ['SrCO3', 'La2O3', 'C4H6Mn']]"
(La0.8Sr0.2)0.9MnO3,"[['SrCO3', 'La2O3', 'MnO2'], ['SrCO3', 'La2O3', 'MnO2'], ['SrCO3', 'La2O3', 'MnCO3'], ['SrCO3', 'La2O3', 'MnCO3'], ['SrCO3', 'La2O3', 'MnCO3']]"
(La0.95Eu0.05)3Ga5SiO14,"[['La2O3', 'SiO2', 'Ga2O3', 'Eu2O3']]"
(La0.97Eu0.03)3Ga5.5Ta0.5O14,"[['Ta2O5', 'La2O3', 'Eu2O3', 'Ga2O3'], ['Ta2O5', 'La2O3', 'Ga2O3', 'Eu2O3']]"
(La0.9Sr0.1)AlO3,"[['SrCO3', 'La2O3', 'Al(NO3)3'], ['SrCO3', 'La2O3', 'Al(NO3)3'], ['SrCO3', 'La2O3', 'Al(NO3)3']]"
(La2O3)0.5(SiO2)0.5,"[['SiO2', 'La2O3']]"
(Li0.04K0.44Na0.52)(Nb0.85Ta0.15)O3,"[['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3'], ['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3'], ['Ta2O5', 'Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3']]"
(Li0.04K0.44Na0.52)NbO3,"[['Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3']]"
(Li0.375Zn0.25)0.6Cu0.4(Fe0.9Mn0.1)2.225O4,"[['Li2CO3', 'ZnO', 'CuO', 'Fe2O3', 'Mn2O3']]"
(Li0.5Fe0.5)0.7Zn0.3Fe2O4,"[['ZnO', 'Li2O', 'Fe2O']]"
(Li0.5La0.5)TiO3,"[['TiO2', 'Li2CO3', 'La2O3']]"
(Li0.5Sm0.5)TiO3,"[['TiO2', 'Li2CO3', 'Sm2O3']]"
(Lu0.50Ca0.50)MnO3,"[['Lu2O3', 'CaO', 'MnO2'], ['Lu2O3', 'CaO', 'MnO2']]"
(Lu0.9Yb0.1)2O3,"[['Lu2O3', 'Yb2O3']]"
(Mg0.476Mn0.448Zn0.007)(Fe1.997Ti0.002)O4,"[['MgO', 'ZnO', 'Fe3O4', 'MnO2', 'TiO2']]"
(Mg0.4Zn0.6)2SiO4,"[['MgO', 'ZnO', 'SiO2']]"
(Mg0.84Mn0.10Pr0.06)Al2Si2O8,"[['Pr6O11', 'Al2O3', 'SiO2', 'MgCO3', 'MnO2']]"
(Mg0.88Mn0.10Nd0.02)Al2Si2O8,"[['Al2O3', 'SiO2', 'Nd2O3', 'MgCO3', 'MnO2']]"
(Mg0.8Fe0.2)SiO3,"[['SiO2', 'MgO', 'Fe2O3']]"
(Mg0.95Co0.05)2TiO4,"[['MgO', 'CoO', 'TiO2']]"
(Mg0.95Co0.05)TiO3,"[['MgO', 'CoO2', 'TiO2'], ['MgO', 'CoO', 'TiO2'], ['TiO2', 'MgO', 'CoO'], ['TiO2', 'MgO', 'CoO']]"
(Mg0.95Ni0.05)TiO3,"[['NiO', 'MgO', 'TiO2'], ['NiO', 'MgO', 'TiO2']]"
(Mg0.95Zn0.05)TiO3,"[['MgO', 'ZnO', 'TiO2'], ['MgO', 'TiO2', 'ZnO'], ['MgO', 'ZnO', 'TiO2'], ['TiO2', 'MgO', 'ZnO']]"
(MgO)0.1(ZnO)0.9,"[['MgO', 'ZnO']]"
(MgO)0.3(HfO2)0.7,"[['HfO2', 'MgO']]"
(MgSrBa)Al12O19,"[['SrCO3', 'MgO', 'Al2O3', 'BaCO3']]"
(Mn0.55Zn0.35Fe0.1)Fe2O4,"[['ZnO', 'MnO', 'Fe2O3']]"
(Mn0.57Zn0.34Fe0.09)Fe2O4,"[['Mn3O4', 'ZnO', 'Fe2O3']]"
(Mn0.5Nb)O3,"[['Nb2O5', 'MnO2']]"
(Mn0.5Zn0.5)Fe2O4,"[['Mn3O4', 'ZnO', 'Fe2O3']]"
(Mn1.85Co0.8Ni0.35)O4,"[['NiO', 'CoO', 'MnO2']]"
(NH4)2SiP4O13,"[['SiO2', 'NH4H2PO4']]"
(Na0.5)(Mn0.5Nb0.5)O3,"[['Nb2O5', 'MnO', 'Na2CO3']]"
(Na0.50K0.50)0.95(Li0.05Sb0.05Nb0.95)O3,"[['Li2CO3', 'Na2CO3', 'Nb2O5', 'K2CO3', 'Sb2O3']]"
